asset,time,CapMrktEstUSD
btc,2019-06-22T00:00:00.000000000Z,1.89903E+11
btc,2019-06-23T00:00:00.000000000Z,1.91862E+11
btc,2019-06-24T00:00:00.000000000Z,1.95616E+11
btc,2019-06-25T00:00:00.000000000Z,2.08477E+11
btc,2019-06-26T00:00:00.000000000Z,2.28718E+11
btc,2019-06-27T00:00:00.000000000Z,1.97561E+11
btc,2019-06-28T00:00:00.000000000Z,2.19782E+11
btc,2019-06-29T00:00:00.000000000Z,2.12446E+11
btc,2019-06-30T00:00:00.000000000Z,1.92874E+11
btc,2019-07-01T00:00:00.000000000Z,1.88037E+11
btc,2019-07-02T00:00:00.000000000Z,1.91553E+11
btc,2019-07-03T00:00:00.000000000Z,2.12676E+11
btc,2019-07-04T00:00:00.000000000Z,1.9891E+11
btc,2019-07-05T00:00:00.000000000Z,1.95754E+11
btc,2019-07-06T00:00:00.000000000Z,1.99514E+11
btc,2019-07-07T00:00:00.000000000Z,2.03955E+11
btc,2019-07-08T00:00:00.000000000Z,2.1935E+11
btc,2019-07-09T00:00:00.000000000Z,2.23998E+11
btc,2019-07-10T00:00:00.000000000Z,2.15611E+11
btc,2019-07-11T00:00:00.000000000Z,2.01166E+11
btc,2019-07-12T00:00:00.000000000Z,2.10423E+11
btc,2019-07-13T00:00:00.000000000Z,2.02136E+11
btc,2019-07-14T00:00:00.000000000Z,1.83205E+11
btc,2019-07-15T00:00:00.000000000Z,1.94686E+11
btc,2019-07-16T00:00:00.000000000Z,1.68773E+11
btc,2019-07-17T00:00:00.000000000Z,1.72424E+11
btc,2019-07-18T00:00:00.000000000Z,1.90352E+11
btc,2019-07-19T00:00:00.000000000Z,1.87736E+11
btc,2019-07-20T00:00:00.000000000Z,1.93642E+11
btc,2019-07-21T00:00:00.000000000Z,1.888E+11
btc,2019-07-22T00:00:00.000000000Z,1.83985E+11
btc,2019-07-23T00:00:00.000000000Z,1.75947E+11
btc,2019-07-24T00:00:00.000000000Z,1.74647E+11
btc,2019-07-25T00:00:00.000000000Z,1.76526E+11
btc,2019-07-26T00:00:00.000000000Z,1.75466E+11
btc,2019-07-27T00:00:00.000000000Z,1.68528E+11
btc,2019-07-28T00:00:00.000000000Z,1.70029E+11
btc,2019-07-29T00:00:00.000000000Z,1.69593E+11
btc,2019-07-30T00:00:00.000000000Z,1.71129E+11
btc,2019-07-31T00:00:00.000000000Z,1.79532E+11
btc,2019-08-01T00:00:00.000000000Z,1.85646E+11
btc,2019-08-02T00:00:00.000000000Z,1.87974E+11
btc,2019-08-03T00:00:00.000000000Z,1.93009E+11
btc,2019-08-04T00:00:00.000000000Z,1.96176E+11
btc,2019-08-05T00:00:00.000000000Z,2.10548E+11
btc,2019-08-06T00:00:00.000000000Z,2.04023E+11
btc,2019-08-07T00:00:00.000000000Z,2.13759E+11
btc,2019-08-08T00:00:00.000000000Z,2.13264E+11
btc,2019-08-09T00:00:00.000000000Z,2.11857E+11
btc,2019-08-10T00:00:00.000000000Z,2.0197E+11
btc,2019-08-11T00:00:00.000000000Z,2.06038E+11
btc,2019-08-12T00:00:00.000000000Z,2.03459E+11
btc,2019-08-13T00:00:00.000000000Z,1.94227E+11
btc,2019-08-14T00:00:00.000000000Z,1.79185E+11
btc,2019-08-15T00:00:00.000000000Z,1.84312E+11
btc,2019-08-16T00:00:00.000000000Z,1.85462E+11
btc,2019-08-17T00:00:00.000000000Z,1.82511E+11
btc,2019-08-18T00:00:00.000000000Z,1.84747E+11
btc,2019-08-19T00:00:00.000000000Z,1.94659E+11
btc,2019-08-20T00:00:00.000000000Z,1.92656E+11
btc,2019-08-21T00:00:00.000000000Z,1.8061E+11
btc,2019-08-22T00:00:00.000000000Z,1.81037E+11
btc,2019-08-23T00:00:00.000000000Z,1.86322E+11
btc,2019-08-24T00:00:00.000000000Z,1.81563E+11
btc,2019-08-25T00:00:00.000000000Z,1.80747E+11
btc,2019-08-26T00:00:00.000000000Z,1.85461E+11
btc,2019-08-27T00:00:00.000000000Z,1.81999E+11
btc,2019-08-28T00:00:00.000000000Z,1.74079E+11
btc,2019-08-29T00:00:00.000000000Z,1.69756E+11
btc,2019-08-30T00:00:00.000000000Z,1.71483E+11
btc,2019-08-31T00:00:00.000000000Z,1.71992E+11
btc,2019-09-01T00:00:00.000000000Z,1.74839E+11
btc,2019-09-02T00:00:00.000000000Z,1.85861E+11
btc,2019-09-03T00:00:00.000000000Z,1.90205E+11
btc,2019-09-04T00:00:00.000000000Z,1.89483E+11
btc,2019-09-05T00:00:00.000000000Z,1.89554E+11
btc,2019-09-06T00:00:00.000000000Z,1.85108E+11
btc,2019-09-07T00:00:00.000000000Z,1.88061E+11
btc,2019-09-08T00:00:00.000000000Z,1.86517E+11
btc,2019-09-09T00:00:00.000000000Z,1.852E+11
btc,2019-09-10T00:00:00.000000000Z,1.808E+11
btc,2019-09-11T00:00:00.000000000Z,1.8183E+11
btc,2019-09-12T00:00:00.000000000Z,1.86537E+11
btc,2019-09-13T00:00:00.000000000Z,1.85517E+11
btc,2019-09-14T00:00:00.000000000Z,1.85861E+11
btc,2019-09-15T00:00:00.000000000Z,1.84854E+11
btc,2019-09-16T00:00:00.000000000Z,1.84006E+11
btc,2019-09-17T00:00:00.000000000Z,1.8291E+11
btc,2019-09-18T00:00:00.000000000Z,1.82314E+11
btc,2019-09-19T00:00:00.000000000Z,1.84257E+11
btc,2019-09-20T00:00:00.000000000Z,1.82513E+11
btc,2019-09-21T00:00:00.000000000Z,1.79235E+11
btc,2019-09-22T00:00:00.000000000Z,1.80343E+11
btc,2019-09-23T00:00:00.000000000Z,1.74004E+11
btc,2019-09-24T00:00:00.000000000Z,1.54645E+11
btc,2019-09-25T00:00:00.000000000Z,1.51257E+11
btc,2019-09-26T00:00:00.000000000Z,1.45306E+11
btc,2019-09-27T00:00:00.000000000Z,1.47031E+11
btc,2019-09-28T00:00:00.000000000Z,1.47317E+11
btc,2019-09-29T00:00:00.000000000Z,1.44864E+11
btc,2019-09-30T00:00:00.000000000Z,1.48791E+11
btc,2019-10-01T00:00:00.000000000Z,1.49383E+11
btc,2019-10-02T00:00:00.000000000Z,1.50275E+11
btc,2019-10-03T00:00:00.000000000Z,1.48331E+11
btc,2019-10-04T00:00:00.000000000Z,1.46767E+11
btc,2019-10-05T00:00:00.000000000Z,1.46336E+11
btc,2019-10-06T00:00:00.000000000Z,1.41192E+11
btc,2019-10-07T00:00:00.000000000Z,1.47884E+11
btc,2019-10-08T00:00:00.000000000Z,1.47255E+11
btc,2019-10-09T00:00:00.000000000Z,1.54611E+11
btc,2019-10-10T00:00:00.000000000Z,1.54262E+11
btc,2019-10-11T00:00:00.000000000Z,1.49096E+11
btc,2019-10-12T00:00:00.000000000Z,1.49721E+11
btc,2019-10-13T00:00:00.000000000Z,1.49151E+11
btc,2019-10-14T00:00:00.000000000Z,1.50157E+11
btc,2019-10-15T00:00:00.000000000Z,1.4683E+11
btc,2019-10-16T00:00:00.000000000Z,1.44024E+11
btc,2019-10-17T00:00:00.000000000Z,1.45273E+11
btc,2019-10-18T00:00:00.000000000Z,1.43252E+11
btc,2019-10-19T00:00:00.000000000Z,1.43072E+11
btc,2019-10-20T00:00:00.000000000Z,1.47861E+11
btc,2019-10-21T00:00:00.000000000Z,1.47839E+11
btc,2019-10-22T00:00:00.000000000Z,1.4457E+11
btc,2019-10-23T00:00:00.000000000Z,1.34302E+11
btc,2019-10-24T00:00:00.000000000Z,1.34251E+11
btc,2019-10-25T00:00:00.000000000Z,1.55919E+11
btc,2019-10-26T00:00:00.000000000Z,1.66615E+11
btc,2019-10-27T00:00:00.000000000Z,1.72189E+11
btc,2019-10-28T00:00:00.000000000Z,1.67897E+11
btc,2019-10-29T00:00:00.000000000Z,1.69932E+11
btc,2019-10-30T00:00:00.000000000Z,1.65472E+11
btc,2019-10-31T00:00:00.000000000Z,1.6499E+11
btc,2019-11-01T00:00:00.000000000Z,1.66738E+11
btc,2019-11-02T00:00:00.000000000Z,1.67633E+11
btc,2019-11-03T00:00:00.000000000Z,1.66016E+11
btc,2019-11-04T00:00:00.000000000Z,1.69795E+11
btc,2019-11-05T00:00:00.000000000Z,1.68231E+11
btc,2019-11-06T00:00:00.000000000Z,1.68683E+11
btc,2019-11-07T00:00:00.000000000Z,1.66099E+11
btc,2019-11-08T00:00:00.000000000Z,1.5855E+11
btc,2019-11-09T00:00:00.000000000Z,1.58915E+11
btc,2019-11-10T00:00:00.000000000Z,1.63118E+11
btc,2019-11-11T00:00:00.000000000Z,1.57189E+11
btc,2019-11-12T00:00:00.000000000Z,1.58572E+11
btc,2019-11-13T00:00:00.000000000Z,1.58186E+11
btc,2019-11-14T00:00:00.000000000Z,1.56012E+11
btc,2019-11-15T00:00:00.000000000Z,1.5279E+11
btc,2019-11-16T00:00:00.000000000Z,1.53019E+11
btc,2019-11-17T00:00:00.000000000Z,1.53531E+11
btc,2019-11-18T00:00:00.000000000Z,1.47741E+11
btc,2019-11-19T00:00:00.000000000Z,1.46551E+11
btc,2019-11-20T00:00:00.000000000Z,1.45838E+11
btc,2019-11-21T00:00:00.000000000Z,1.37468E+11
btc,2019-11-22T00:00:00.000000000Z,1.31436E+11
btc,2019-11-23T00:00:00.000000000Z,1.32302E+11
btc,2019-11-24T00:00:00.000000000Z,1.25427E+11
btc,2019-11-25T00:00:00.000000000Z,1.28974E+11
btc,2019-11-26T00:00:00.000000000Z,1.29462E+11
btc,2019-11-27T00:00:00.000000000Z,1.36003E+11
btc,2019-11-28T00:00:00.000000000Z,1.3438E+11
btc,2019-11-29T00:00:00.000000000Z,1.40023E+11
btc,2019-11-30T00:00:00.000000000Z,1.36574E+11
btc,2019-12-01T00:00:00.000000000Z,1.34084E+11
btc,2019-12-02T00:00:00.000000000Z,1.32299E+11
btc,2019-12-03T00:00:00.000000000Z,1.32098E+11
btc,2019-12-04T00:00:00.000000000Z,1.30459E+11
btc,2019-12-05T00:00:00.000000000Z,1.33893E+11
btc,2019-12-06T00:00:00.000000000Z,1.3626E+11
