asset,time,CapMrktEstUSD
eth,2019-06-22T00:00:00.000000000Z,32829967498.0630185741180987
eth,2019-06-23T00:00:00.000000000Z,32678967559.226772069029696
eth,2019-06-24T00:00:00.000000000Z,33029142293.6939651432237964
eth,2019-06-25T00:00:00.000000000Z,33712941350.7232629761076696
eth,2019-06-26T00:00:00.000000000Z,35622224378.2548852640710009
eth,2019-06-27T00:00:00.000000000Z,31273107004.0196153715674304
eth,2019-06-28T00:00:00.000000000Z,33008442823.7600144262066262
eth,2019-06-29T00:00:00.000000000Z,33981728796.2612922689893413
eth,2019-06-30T00:00:00.000000000Z,31119231428.5922231582555388
eth,2019-07-01T00:00:00.000000000Z,31358150645.9067149356370016
eth,2019-07-02T00:00:00.000000000Z,31010994764.3012937875735693
eth,2019-07-03T00:00:00.000000000Z,32240876010.8288835304954293
eth,2019-07-04T00:00:00.000000000Z,30262788950.3499370215677857
eth,2019-07-05T00:00:00.000000000Z,30733145888.1262383665557132
eth,2019-07-06T00:00:00.000000000Z,30674484352.6996891432136556
eth,2019-07-07T00:00:00.000000000Z,32699604437.9384561728277318
eth,2019-07-08T00:00:00.000000000Z,33465046667.6772680773368087
eth,2019-07-09T00:00:00.000000000Z,32937024307.0476418297282432
eth,2019-07-10T00:00:00.000000000Z,30846041550.5056508420865405
eth,2019-07-11T00:00:00.000000000Z,28585400222.1969552271921603
eth,2019-07-12T00:00:00.000000000Z,29479848133.5956388187595971
eth,2019-07-13T00:00:00.000000000Z,28715802122.731351188935432
eth,2019-07-14T00:00:00.000000000Z,24620036079.467265078988368
eth,2019-07-15T00:00:00.000000000Z,24649142143.7784985115131465
eth,2019-07-16T00:00:00.000000000Z,21276224384.661453769802328
eth,2019-07-17T00:00:00.000000000Z,22554541098.7576803098863335
eth,2019-07-18T00:00:00.000000000Z,24301691735.605152343372645
eth,2019-07-19T00:00:00.000000000Z,23640569440.67812768704027
eth,2019-07-20T00:00:00.000000000Z,24674808190.52871233847872
eth,2019-07-21T00:00:00.000000000Z,24143062344.989842772980511
eth,2019-07-22T00:00:00.000000000Z,23219687067.907725300536466
eth,2019-07-23T00:00:00.000000000Z,22724829164.165589796960062
eth,2019-07-24T00:00:00.000000000Z,23207950403.5783818128642205
eth,2019-07-25T00:00:00.000000000Z,23509546169.815243401351327
eth,2019-07-26T00:00:00.000000000Z,23483274720.006020000110867
eth,2019-07-27T00:00:00.000000000Z,22124446641.484187860128071
eth,2019-07-28T00:00:00.000000000Z,22585779155.8916765269983
eth,2019-07-29T00:00:00.000000000Z,22579327589.402389872996919
eth,2019-07-30T00:00:00.000000000Z,22495310915.823955687226262
eth,2019-07-31T00:00:00.000000000Z,23361413630.406024432152995
eth,2019-08-01T00:00:00.000000000Z,23285619423.541009625308121
eth,2019-08-02T00:00:00.000000000Z,23322218921.2876798000852005
eth,2019-08-03T00:00:00.000000000Z,23771856555.667269689137785
eth,2019-08-04T00:00:00.000000000Z,23877047361.406272654549992
eth,2019-08-05T00:00:00.000000000Z,24899592670.507588443106752
eth,2019-08-06T00:00:00.000000000Z,24198369709.733226209002077
eth,2019-08-07T00:00:00.000000000Z,24235088740.5775783203988705
eth,2019-08-08T00:00:00.000000000Z,23649176097.2305818784175725
eth,2019-08-09T00:00:00.000000000Z,22501234307.962177949750691
eth,2019-08-10T00:00:00.000000000Z,22129365881.6859333371062175
eth,2019-08-11T00:00:00.000000000Z,23147539268.8510511254122175
eth,2019-08-12T00:00:00.000000000Z,22633641566.054386603873189
eth,2019-08-13T00:00:00.000000000Z,22381718196.345667080635004
eth,2019-08-14T00:00:00.000000000Z,20000577353.160687724104224
