asset,time,CapMrktEstUSD
sol,2020-04-11T00:00:00.000000000Z,6244287.603841352
sol,2020-04-12T00:00:00.000000000Z,7247081.666323752
sol,2020-04-13T00:00:00.000000000Z,6272480.380791288
sol,2020-04-14T00:00:00.000000000Z,5365156.692380488
sol,2020-04-15T00:00:00.000000000Z,5126711.21727128
sol,2020-04-16T00:00:00.000000000Z,5527442.69576492
sol,2020-04-17T00:00:00.000000000Z,5305312.182146792
sol,2020-04-18T00:00:00.000000000Z,5434540.875572112
sol,2020-04-19T00:00:00.000000000Z,4849761.633956856
sol,2020-04-20T00:00:00.000000000Z,4280073.5720132
sol,2020-04-21T00:00:00.000000000Z,4658443.318301376
sol,2020-04-22T00:00:00.000000000Z,5499779.397580152
sol,2020-04-23T00:00:00.000000000Z,4978498.558267552
sol,2020-04-24T00:00:00.000000000Z,5004329.822721864
sol,2020-04-25T00:00:00.000000000Z,5193335.980870568
sol,2020-04-26T00:00:00.000000000Z,5098060.873943408
sol,2020-04-27T00:00:00.000000000Z,4580825.119326544
sol,2020-04-28T00:00:00.000000000Z,5276816.276521088
sol,2020-04-29T00:00:00.000000000Z,5925553.234311432
sol,2020-04-30T00:00:00.000000000Z,5609154.41307072
sol,2020-05-01T00:00:00.000000000Z,5765264.157688208
sol,2020-05-02T00:00:00.000000000Z,5693429.792564704
sol,2020-05-03T00:00:00.000000000Z,5471060.257334048
sol,2020-05-04T00:00:00.000000000Z,5344670.476877264
sol,2020-05-05T00:00:00.000000000Z,5179119.716206848
sol,2020-05-06T00:00:00.000000000Z,4999265.386048912
sol,2020-05-07T00:00:00.000000000Z,4848004.407672976
sol,2020-05-08T00:00:00.000000000Z,4873502.726268432
sol,2020-05-09T00:00:00.000000000Z,4862699.033311736
sol,2020-05-10T00:00:00.000000000Z,4300365.016894032
sol,2020-05-11T00:00:00.000000000Z,4131295.797333928
sol,2020-05-12T00:00:00.000000000Z,4291770.2915178
sol,2020-05-13T00:00:00.000000000Z,4423010.818349488
sol,2020-05-14T00:00:00.000000000Z,4583389.819401712
sol,2020-05-15T00:00:00.000000000Z,4459485.723208088
sol,2020-05-16T00:00:00.000000000Z,4778039.082088272
sol,2020-05-17T00:00:00.000000000Z,4926470.851363544
sol,2020-05-18T00:00:00.000000000Z,5214709.807336496
sol,2020-05-19T00:00:00.000000000Z,5018408.063210736
sol,2020-05-20T00:00:00.000000000Z,4655488.143231672
sol,2020-05-21T00:00:00.000000000Z,4845477.796992304
sol,2020-05-22T00:00:00.000000000Z,5086561.528854536
sol,2020-05-23T00:00:00.000000000Z,4859556.143624592
sol,2020-05-24T00:00:00.000000000Z,4418578.904915104
sol,2020-05-25T00:00:00.000000000Z,4817501.435616392
sol,2020-05-26T00:00:00.000000000Z,4597116.998537456
sol,2020-05-27T00:00:00.000000000Z,4720446.968687976
sol,2020-05-28T00:00:00.000000000Z,4605162.443582504
sol,2020-05-29T00:00:00.000000000Z,9469174.1966041776863448596732
sol,2020-05-30T00:00:00.000000000Z,9579245.7024799253510771873192
sol,2020-05-31T00:00:00.000000000Z,9361901.1824548711123968470404
sol,2020-06-01T00:00:00.000000000Z,9445248.9376961031355696237035
sol,2020-06-02T00:00:00.000000000Z,9276198.282973214291479796706
sol,2020-06-03T00:00:00.000000000Z,9596191.1808797508498253934976
sol,2020-06-04T00:00:00.000000000Z,9587138.559756389099784160365
sol,2020-06-05T00:00:00.000000000Z,10786320.6663231878930084825868
sol,2020-06-06T00:00:00.000000000Z,10159990.1467950703477038384768
sol,2020-06-07T00:00:00.000000000Z,10026851.0241053772319627542582
sol,2020-06-08T00:00:00.000000000Z,10915650.7396946529273596249088
sol,2020-06-09T00:00:00.000000000Z,10746216.4802057114354782786056
sol,2020-06-10T00:00:00.000000000Z,10584732.5675695743203910273654
sol,2020-06-11T00:00:00.000000000Z,9340599.1423579564734168526917
sol,2020-06-12T00:00:00.000000000Z,9709771.609959829904828753273
sol,2020-06-13T00:00:00.000000000Z,9970712.1916136824441958685576
sol,2020-06-14T00:00:00.000000000Z,9561232.5238817320918525404685
sol,2020-06-15T00:00:00.000000000Z,9343617.520786529696759218131
sol,2020-06-16T00:00:00.000000000Z,9536020.399785081875303405264
sol,2020-06-17T00:00:00.000000000Z,9535924.7707223278917113905468
sol,2020-06-18T00:00:00.000000000Z,10140154.3801193558045075364594
sol,2020-06-19T00:00:00.000000000Z,11228499.2922811386269043706216
sol,2020-06-20T00:00:00.000000000Z,10659173.6942372585220981870034
