"timestamp","btc_dominance","eth_dominance","score","USD_total_market_cap","USD_total_volume24h","USD_total_volume24h_reported","USD_altcoin_volume24h","USD_altcoin_volume24h_reported","USD_altcoin_market_cap","USD_original_score","active_cryptocurrencies","active_market_pairs","active_exchanges","total_cryptocurrencies","total_exchanges","origin_id","USD_origin_id"
2013-04-29,94.1977,0,1367193600000,1583440000,0,0,0,0,91876704,"1367193720",NA,NA,NA,NA,NA,NA,NA
2013-04-30,94.3854,0,1.36728e+12,1686950016,0,0,0,0,94716304,"1367280120",NA,NA,NA,NA,NA,NA,NA
2013-05-01,94.3595,0,1367366400000,1637389952,0,0,0,0,92358096,"1367366520",NA,NA,NA,NA,NA,NA,NA
2013-05-02,94.0775,0,1367452800000,1333880064,0,0,0,0,78998704,"1367452920",NA,NA,NA,NA,NA,NA,NA
2013-05-03,94.1598,0,1367539200000,1275410048,0,0,0,0,74487104,"1367539320",NA,NA,NA,NA,NA,NA,NA
2013-05-04,93.8787,0,1367625600000,1169469952,0,0,0,0,71586800,"1367625720",NA,NA,NA,NA,NA,NA,NA
2013-05-05,93.9531,0,1.367712e+12,1335379968,0,0,0,0,80748800,"1367712120",NA,NA,NA,NA,NA,NA,NA
2013-05-06,94.0777,0,1367798400000,1370880000,0,0,0,0,81187200,"1367798520",NA,NA,NA,NA,NA,NA,NA
2013-05-07,94.3851,0,1367884800000,1313900032,0,0,0,0,73773904,"1367884920",NA,NA,NA,NA,NA,NA,NA
2013-05-08,94.3697,0,1367971200000,1320509952,0,0,0,0,74349200,"1367971320",NA,NA,NA,NA,NA,NA,NA
2013-05-09,94.1743,0,1368057600000,1333639936,0,0,0,0,77693800,"1368057720",NA,NA,NA,NA,NA,NA,NA
2013-05-10,94.17,0,1.368144e+12,1329740032,0,0,0,0,77524096,"1368144120",NA,NA,NA,NA,NA,NA,NA
2013-05-11,94.3601,0,1368230400000,1390119936,0,0,0,0,78401504,"1368230520",NA,NA,NA,NA,NA,NA,NA
