,date,btc_market_cap,eth_market_cap,sol_market_cap
0,2019-06-22,189903000000.0,32829967498.063015,
1,2019-06-23,191862000000.0,32678967559.22677,
2,2019-06-24,195616000000.0,33029142293.693962,
3,2019-06-25,208477000000.0,33712941350.723263,
4,2019-06-26,228718000000.0,35622224378.25488,
5,2019-06-27,197561000000.0,31273107004.01961,
6,2019-06-28,219782000000.0,33008442823.760014,
7,2019-06-29,212446000000.0,33981728796.261288,
8,2019-06-30,192874000000.0,31119231428.592224,
9,2019-07-01,188037000000.0,31358150645.906715,
10,2019-07-02,191553000000.0,31010994764.301292,
11,2019-07-03,212676000000.0,32240876010.828884,
12,2019-07-04,198910000000.0,30262788950.349937,
13,2019-07-05,195754000000.0,30733145888.12624,
14,2019-07-06,199514000000.0,30674484352.699688,
15,2019-07-07,203955000000.0,32699604437.938457,
16,2019-07-08,219350000000.0,33465046667.67727,
17,2019-07-09,223998000000.0,32937024307.04764,
18,2019-07-10,215611000000.0,30846041550.50565,
19,2019-07-11,201166000000.0,28585400222.196957,
20,2019-07-12,210423000000.0,29479848133.59564,
21,2019-07-13,202136000000.0,28715802122.731354,
22,2019-07-14,183205000000.0,24620036079.467262,
23,2019-07-15,194686000000.0,24649142143.778496,
24,2019-07-16,168773000000.0,21276224384.661453,
25,2019-07-17,172424000000.0,22554541098.75768,
26,2019-07-18,190352000000.0,24301691735.605152,
27,2019-07-19,187736000000.0,23640569440.678127,
28,2019-07-20,193642000000.0,24674808190.528713,
29,2019-07-21,188800000000.0,24143062344.98984,
30,2019-07-22,183985000000.0,23219687067.907722,
31,2019-07-23,175947000000.0,22724829164.16559,
32,2019-07-24,174647000000.0,23207950403.57838,
33,2019-07-25,176526000000.0,23509546169.815243,
34,2019-07-26,175466000000.0,23483274720.00602,
35,2019-07-27,168528000000.0,22124446641.484188,
36,2019-07-28,170029000000.0,22585779155.89168,
37,2019-07-29,169593000000.0,22579327589.40239,
38,2019-07-30,171129000000.0,22495310915.823956,
39,2019-07-31,179532000000.0,23361413630.406025,
40,2019-08-01,185646000000.0,23285619423.541008,
41,2019-08-02,187974000000.0,23322218921.28768,
42,2019-08-03,193009000000.0,23771856555.667267,
43,2019-08-04,196176000000.0,23877047361.406273,
44,2019-08-05,210548000000.0,24899592670.507587,
45,2019-08-06,204023000000.0,24198369709.733223,
46,2019-08-07,213759000000.0,24235088740.577576,
47,2019-08-08,213264000000.0,23649176097.23058,
48,2019-08-09,211857000000.0,22501234307.962177,
49,2019-08-10,201970000000.0,22129365881.685932,
50,2019-08-11,206038000000.0,23147539268.851048,
51,2019-08-12,203459000000.0,22633641566.054382,
52,2019-08-13,194227000000.0,22381718196.34567,
53,2019-08-14,179185000000.0,20000577353.160686,
54,2019-08-15,184312000000.0,20178602496.90206,
55,2019-08-16,185462000000.0,19919380356.037617,
56,2019-08-17,182511000000.0,19918647877.887325,
57,2019-08-18,184747000000.0,20904498669.456806,
58,2019-08-19,194659000000.0,21772683346.41552,
59,2019-08-20,192656000000.0,21125796104.068176,
60,2019-08-21,180610000000.0,20030715888.05352,
61,2019-08-22,181037000000.0,20580981260.989574,
62,2019-08-23,186322000000.0,20908891035.8392,
63,2019-08-24,181563000000.0,20534428091.11294,
64,2019-08-25,180747000000.0,20022256818.774483,
65,2019-08-26,185461000000.0,20266135562.6101,
66,2019-08-27,181999000000.0,20087406894.27063,
67,2019-08-28,174079000000.0,18616380728.084164,
68,2019-08-29,169756000000.0,18141390570.356873,
69,2019-08-30,171483000000.0,18104623787.74059,
70,2019-08-31,171992000000.0,18516138666.279892,
71,2019-09-01,174839000000.0,18414566771.441406,
72,2019-09-02,185861000000.0,19209517444.378284,
73,2019-09-03,190205000000.0,19282244288.95315,
74,2019-09-04,189483000000.0,18800078619.011795,
75,2019-09-05,189554000000.0,18782179700.468437,
76,2019-09-06,185108000000.0,18212987608.112083,
77,2019-09-07,188061000000.0,19190121634.734825,
78,2019-09-08,186517000000.0,19549632536.92629,
79,2019-09-09,185200000000.0,19528792898.733322,
80,2019-09-10,180800000000.0,19338232334.94536,
81,2019-09-11,181830000000.0,19175143062.074368,
82,2019-09-12,186537000000.0,19477782328.50528,
83,2019-09-13,185517000000.0,19552152884.762524,
84,2019-09-14,185861000000.0,20317552193.333668,
85,2019-09-15,184854000000.0,20411445865.960472,
86,2019-09-16,184006000000.0,21274654940.357323,
87,2019-09-17,182910000000.0,22555219204.008045,
88,2019-09-18,182314000000.0,22712561546.872314,
89,2019-09-19,184257000000.0,23884102356.11401,
90,2019-09-20,182513000000.0,23416295173.660477,
91,2019-09-21,179235000000.0,23236426290.194546,
92,2019-09-22,180343000000.0,22759678484.880344,
93,2019-09-23,174004000000.0,21702858131.14574,
94,2019-09-24,154645000000.0,18168842882.31674,
95,2019-09-25,151257000000.0,18322746777.25766,
96,2019-09-26,145306000000.0,17946395183.495243,
97,2019-09-27,147031000000.0,18784808982.002388,
98,2019-09-28,147317000000.0,18756413719.296352,
99,2019-09-29,144864000000.0,18332909635.272854,
100,2019-09-30,148791000000.0,19377477323.72663,
101,2019-10-01,149383000000.0,19069664710.307625,
102,2019-10-02,150275000000.0,19516768985.60144,
103,2019-10-03,148331000000.0,18948288166.706306,
104,2019-10-04,146767000000.0,19032534194.19834,
