date,btc_open,btc_high,btc_low,btc_close,btc_volume,btc_trades,eth_open,eth_high,eth_low,eth_close,eth_volume,eth_trades,sol_open,sol_high,sol_low,sol_close,sol_volume,sol_trades,btc_funding_rate,eth_funding_rate,sol_funding_rate,btc_market_cap,eth_market_cap,sol_market_cap,fear_greed,btc_dominance,eth_dominance,USD_total_market_cap,USD_total_volume24h,USD_altcoin_market_cap,USD_altcoin_volume24h
2021-01-01,28923.63,29600.0,28624.57,29331.69,54182.925011,1314910.0,736.42,749.0,714.29,728.91,675114.09329,483671.0,1.5088,1.86,1.499,1.8421,4421991.45,55297.0,0.0002784866666666,0.0005081166666666,-0.0015012366666666,546097000000.0,83371600687.19344,85827028.59827167,94.0,70.4528,11.0002,765312965839.57,167124239672.76,226128333016.9,120364754194.39
2021-01-02,29331.7,33300.0,28946.53,32178.33,129993.873362,2245922.0,728.91,787.69,714.91,774.56,1352618.57668,824134.0,1.8421,2.0,1.7116,1.7999,5253819.62,66430.0,0.0004854066666666,0.0006133033333333,-0.0003947933333333,595233000000.0,88444643858.51671,84096226.01783957,94.0,70.6696,10.7852,772481366071.7,161674914466.97,226571863481.16,120949191585.31
2021-01-03,32176.45,34778.11,31962.99,33000.05,120957.56675,2369698.0,774.44,1011.07,768.71,978.28,2813603.88615,1636501.0,1.7998,2.38,1.7973,2.1779,8318341.13,113481.0,0.0013126933333333,0.0010263533333333,-0.0010363433333333,618596000000.0,112992827132.18095,100016233.91887544,93.0,71.798,10.635,831050843622.62,232555411727.42,234373153964.24,164840617099.97
2021-01-04,33000.05,33600.0,28130.0,31988.71,140899.88569,2642408.0,978.33,1162.97,890.0,1041.43,4245010.94004,2477862.0,2.1789,2.4989,1.86,2.4909,7800814.8,122009.0,0.0015224833333333,0.0025199366666666,-0.00177702,591196000000.0,117565039436.4192,114388479.57764204,94.0,69.5703,12.7394,876589922892.12,320443594023.47,266743909000.28,241476657509.47
2021-01-05,31989.75,34360.0,29900.0,33949.53,116049.997038,2526851.0,1041.45,1134.6,974.45,1099.56,2706995.67525,1960503.0,2.4911,2.5093,2.0621,2.1636,6702006.99,102299.0,0.00066136,0.0008279566666666,-0.00478345,632335000000.0,125708935410.54224,100504159.86532368,93.0,68.3439,13.649,869548486452.6,174321177974.47,275265367503.25,93137867853.53
2021-01-06,33949.53,36939.21,33288.0,36769.36,127139.20131,2591783.0,1100.16,1213.0,1057.26,1208.42,2390136.59334,1600888.0,2.1636,2.189,1.9017,1.9414,8451529.47,88678.0,0.0016215133333333,0.0021931866666666,-0.0075,681267000000.0,136885230787.89244,90642185.65589224,95.0,68.7089,13.6515,920624311572.56,141977339323.72,288073219694.45,74347818278.41
2021-01-07,36769.36,40365.0,36300.0,39432.28,132825.700437,2814686.0,1208.75,1289.0,1131.0,1224.87,1972922.82059,1402699.0,1.9404,2.65,1.9214,2.3635,30861006.24,271878.0,0.0011430033333333,0.0015235666666666,-0.005,729136000000.0,139282787723.4794,110198133.506635,91.0,68.5012,13.7656,1000232390769.68,164039168270.47,315061491732.38,88820306474.56
2021-01-08,39432.48,41950.0,36500.0,40582.81,139789.957499,2925632.0,1224.86,1273.75,1065.0,1216.93,2131172.92341,1718817.0,2.3655,3.8,2.175,3.2214,29866396.67,221673.0,0.0014581766666666,0.00128851,-3.378000000000001e-05,758179000000.0,139260996522.61804,837941851.484563,93.0,69.6016,13.2963,1052206214274.87,180029012156.19,319853731563.5,95355878084.03
2021-01-09,40586.96,41380.0,38720.0,40088.22,75785.979675,1998156.0,1216.72,1304.37,1171.36,1276.0,1448871.11514,1131871.0,3.212,3.6998,2.93,3.3829,9881188.65,109729.0,0.0009227133333333,0.0009773666666666,0.00074452,750691000000.0,146937430255.0707,891921191.819294,93.0,70.3697,12.9469,1078151392864.04,177851128738.93,319459652900.33,90555211397.29
2021-01-10,40088.22,41350.0,35111.11,38150.02,118209.544503,2628050.0,1276.0,1348.33,1170.0,1254.25,1951179.35003,1437486.0,3.3734,3.7517,3.1556,3.449,5819813.51,70395.0,0.00106408,0.0022316333333333,0.0019992766666666,712766000000.0,144495863161.77533,906496755.1938767,94.0,68.8379,13.4529,1088240613852.74,143317089479.62,339118604537.97,81336513807.15
2021-01-11,38150.02,38264.74,30420.0,35404.47,249131.539943,4431451.0,1254.24,1260.0,915.0,1087.01,4068784.65678,2557613.0,3.4455,3.5282,2.5795,3.1016,8734261.68,92843.0,0.0007382766666666,0.0009449266666666,0.0004057166666666,655901000000.0,123668084991.43088,811539677.7225505,90.0,68.1367,13.7675,1047705851913.44,184458707534.94,333833273193.98,104369884199.12
2021-01-12,35410.37,36628.0,32531.0,34051.24,133948.151996,2674145.0,1087.0,1150.02,1006.33,1050.16,2302645.34052,1516625.0,3.1016,3.88,3.058,3.6354,7075911.68,155651.0,0.0004644199999999,0.0003771433333333,5.308333333333333e-05,626977000000.0,118649684439.8977,931796508.9557412,84.0,69.1322,13.0059,957506510510.2,244799025184.36,295561598183.2,121415911174.4
2021-01-13,34049.15,37850.0,32380.0,37371.38,124477.914938,2514289.0,1050.36,1137.65,987.48,1129.89,1564202.39081,1123983.0,3.6354,3.637,3.2633,3.5242,5123655.8,99621.0,0.0003596266666666,0.0002989166666666,0.0002306366666666,693667000000.0,128840028066.72972,921541820.6851014,78.0,68.5632,12.9539,919926156837.37,155615242438.11,289195266120.32,80807921487.46
2021-01-14,37371.38,40100.0,36701.23,39144.5,102950.389421,2297466.0,1129.79,1247.55,1086.7,1231.62,1555737.38556,1255769.0,3.5243,3.5955,3.1814,3.2921,6422109.73,96919.0,0.0007315366666666,0.0005958133333333,0.0005007966666666,726233000000.0,138530746462.8942,855896326.7147477,83.0,68.905,12.8109,1007426555868.52,132229001782.59,313259647528.54,62881814906.34
2021-01-15,39145.21,39747.76,34408.0,36742.22,118300.920916,2560801.0,1231.89,1256.98,1069.42,1168.53,1944038.83738,1519266.0,3.2921,3.4489,2.9618,3.2475,4812542.83,74648.0,0.0007943199999999,0.0005684133333333,0.0003995233333333,682833000000.0,133408639741.2098,852691433.3917563,88.0,68.831,13.1571,1059027014104.1,132492785124.05,330088582765.22,68920287324.02
2021-01-16,36737.43,37950.0,35357.8,35994.98,86348.431508,2066363.0,1168.48,1298.0,1151.77,1227.83,1575384.43797,1252473.0,3.2479,3.7081,3.2463,3.4247,8562549.63,124687.0,0.00037023,0.00073845,0.0011492633333333,672953000000.0,140722125057.08975,900992193.8012608,84.0,68.0186,13.2956,1005282606669.72,149530603908.59,321503282617.04,81823520491.17
2021-01-17,35994.98,36852.5,33850.0,35828.61,80157.727384,1860642.0,1227.83,1269.02,1165.0,1232.45,1317285.00579,1121278.0,3.4251,3.9876,3.3,3.8268,8531899.81,105174.0,0.0002446166666666,0.0006921766666666,0.00075941,670990000000.0,141943180977.9462,1016634432.2258956,79.0,66.53,13.9412,1012362471103.07,135680686064.59,338837823945.78,77964874037.22
2021-01-18,35824.99,37469.83,34800.0,36631.27,70698.11875,1707766.0,1232.5,1260.75,1182.58,1258.45,998050.11073,940604.0,3.8243,4.17,3.6167,3.7868,6226924.77,78131.0,0.0006941533333333,0.00082319,0.00113757,680774000000.0,143115130072.29443,993286574.5079548,79.0,66.1606,13.9799,1007051878926.17,121675774736.41,340780301985.17,69267399902.92
2021-01-19,36622.46,37850.0,35844.06,35891.49,79611.307769,1939371.0,1258.52,1438.3,1251.49,1365.36,2278852.55758,1840481.0,3.7873,4.0498,3.6,3.6287,4768719.77,64919.0,0.0012007566666666,0.00173016,0.0008454666666666,674404000000.0,158441290714.20105,954651455.6939292,80.0,66.2562,13.9593,1030379574330.94,110191430518.12,347688788785.38,60602447207.82
2021-01-20,35901.94,36415.31,33400.0,35468.23,89368.422918,2234539.0,1365.36,1407.93,1235.42,1376.99,2219137.62144,1852253.0,3.6288,3.7413,3.34,3.7166,4801640.28,74604.0,0.0004087566666666,0.0009171333333333,-4.906999999999999e-05,660769000000.0,156372297179.02094,975385115.4890748,78.0,65.1071,15.2803,1032869171007.11,142055504111.51,360397879486.37,84696321432.5
2021-01-21,35468.23,35600.0,30071.0,30850.13,131803.182926,2820752.0,1376.72,1390.0,1086.0,1110.96,2254164.80365,1823458.0,3.7199,3.7411,2.9717,2.9899,4375407.94,60277.0,0.0003900799999999,0.00046079,-1.0083333333333332e-05,577214000000.0,129507384705.56018,786469643.1452247,75.0,64.5811,15.4345,1025653410835.52,152550937127.47,363275202814.53,85689517696.61
2021-01-22,30851.99,33826.53,28850.0,32945.17,142971.684049,2707810.0,1111.98,1273.79,1042.31,1232.62,2020593.21673,1652010.0,2.9893,3.4992,2.5295,3.3352,6481502.65,83968.0,0.0001,0.0001566266666666,-0.0002433366666666,613773000000.0,141263668177.86368,872783366.7069244,40.0,64.8111,14.4944,885703222647.15,161255657777.05,311669077392.3,85476382842.2
2021-01-23,32950.0,33456.0,31390.16,32078.0,64595.287675,1700056.0,1232.61,1272.44,1195.9,1233.6,1009545.08258,932871.0,3.3302,3.6,3.3056,3.5079,2269454.7,33884.0,0.0001072733333333,0.0002146966666666,0.0001,596122000000.0,140981872901.22742,913068465.507272,74.0,64.5717,14.8801,949923044916.44,158724977471.27,336541557105.93,81545729587.62
2021-01-24,32078.0,33071.0,30900.0,32259.9,57978.037966,1528287.0,1233.46,1398.83,1220.0,1392.51,1510879.53817,1313986.0,3.5018,3.79,3.4781,3.6278,2457759.67,32628.0,0.0002191866666666,0.0008202533333333,0.0001134566666666,599499000000.0,158666207761.335,946832713.8154426,70.0,63.706,15.0298,936376288463.76,107038040266.94,339848340613.81,58679540907.73
2021-01-25,32259.45,34875.0,31910.0,32254.2,88499.226921,2106548.0,1392.19,1475.0,1293.69,1317.88,1885441.31289,1661512.0,3.6287,3.9928,3.4398,3.7038,6791542.33,82263.0,0.00034889,0.00083247,0.0004764466666666,603316000000.0,151635834010.5561,968637485.2587376,74.0,62.3748,16.5296,963889593144.28,113214077395.04,362665478312.33,64576772968.86
2021-01-26,32254.19,32921.88,30837.37,32467.77,84972.20691,2010392.0,1317.6,1378.49,1244.56,1365.97,1682923.65799,1423178.0,3.7036,4.097,3.6478,4.041,6618303.9,75426.0,0.0001116866666666,0.0002532933333333,0.0001,607456000000.0,155799929301.46567,1054021170.1960416,71.0,63.1847,15.8903,952725120616.35,134284000028.15,350748487003.21,74388701820.86
2021-01-27,32464.01,32557.29,29241.72,30366.15,95911.961711,2065953.0,1366.54,1373.9,1207.0,1239.03,2009772.08358,1737296.0,4.0418,4.0422,3.5114,3.675,2491757.82,38794.0,0.0001,0.0001878066666666,0.0001,565023000000.0,142556249174.7996,964278837.0858335,78.0,62.9842,16.1089,962965946229.64,132777082522.17,356449658202.88,72527710506.7
2021-01-28,30362.19,33783.98,29842.1,33364.86,92621.145617,2060660.0,1238.93,1360.0,1217.23,1329.69,1365269.71962,1275024.0,3.664,3.96,3.6,3.81,2055425.01,33822.0,0.0001408733333333,0.00027226,0.0001741533333333,623722000000.0,153539475089.36234,999839101.7291464,55.0,62.8927,15.9226,899608105524.53,136309454820.55,333819901148.46,73831820529.08
2021-01-29,33368.18,38531.9,31915.4,34252.2,231827.005626,4403349.0,1329.44,1436.9,1285.35,1379.5,2253963.18682,1714076.0,3.8092,3.912,3.6,3.8293,2992168.86,42872.0,0.0008053066666666,0.0013854133333333,0.0006423133333333,635942000000.0,158322469086.54904,1004246200.7424845,77.0,63.3916,15.5296,981399142368.02,142638847963.5,359274789364.93,66354523110.34
2021-01-30,34246.28,34933.0,32825.0,34262.88,84889.68134,2201040.0,1379.56,1406.0,1326.41,1378.05,1040042.2363,1013174.0,3.8301,4.3179,3.7667,4.228,3944655.04,61647.0,0.00041612,0.0006823666666666,0.0006699633333333,639395000000.0,157935796413.09116,1102432492.2992148,76.0,63.2399,15.7046,1008115569246.02,237763757633.95,370583882101.83,119704150098.72
2021-01-31,34262.89,34342.69,32171.67,33092.98,68742.280384,1707064.0,1378.04,1380.74,1281.12,1312.55,958704.85571,828176.0,4.228,4.805,4.154,4.2525,5438870.48,94648.0,0.0004843166666666,0.0010028133333333,0.0011015766666666,617234000000.0,150797241403.19833,1113141762.1557608,78.0,62.6685,15.4778,1018463731294.19,153684257076.48,380207622033.53,88620668738.57
2021-02-01,33092.97,34717.27,32296.16,33526.37,82718.276882,1810492.0,1312.45,1377.99,1269.99,1374.17,1096397.91862,915584.0,4.2568,4.617,4.1075,4.6148,2097052.47,43670.0,0.00039447,0.00047379,0.00028593,624941000000.0,156838168765.9368,1187632304.6482537,77.0,62.2892,15.2092,990275887106.73,134883270003.64,373441374708.94,82202014398.77
2021-02-02,33517.09,35984.33,33418.0,35466.24,78056.65988,1789672.0,1374.09,1547.9,1360.28,1511.87,1944227.99878,1614541.0,4.6148,5.4026,4.4632,5.2331,5278922.61,107720.0,0.0006774866666666,0.0011231633333333,0.00092155,662682000000.0,174513861659.0402,1377306508.7231116,76.0,61.994,15.5938,1006449250810.23,158462046846.98,382510675865.07,97055820847.42
2021-02-03,35472.71,37662.63,35362.38,37618.87,80784.333663,1881740.0,1511.93,1669.35,1508.39,1664.49,1535869.88801,1384979.0,5.243,5.783,5.0513,5.7311,3977458.72,79473.0,0.0007779633333333,0.0015846,0.00126416,699619000000.0,190033689373.90472,1491340068.5853643,78.0,62.045,16.2774,1065615072249.44,151102833655.03,404453728533.2,87973683268.25
2021-02-04,37620.26,38708.27,36161.95,36936.66,92080.735898,2211866.0,1664.67,1695.2,1554.44,1595.67,1646502.32962,1507993.0,5.7339,6.5426,5.5676,6.4085,5609382.39,102732.0,0.00055095,0.0014221,0.0014239233333333,691292000000.0,184201540613.4399,1683436244.3654344,80.0,61.57,16.7886,1132177735792.22,144177129930.67,435095867448.11,83014472540.57
2021-02-05,36936.65,38310.12,36570.0,38290.24,66681.334275,1853253.0,1595.53,1760.49,1591.0,1719.19,1194123.29946,1326415.0,6.4181,7.1438,6.4086,6.7005,4235525.49,95696.0,0.0007687566666666,0.0014854366666666,0.0021305399999999,708388000000.0,197060852682.2544,1740075972.8509045,81.0,61.3403,16.2912,1121071194215.43,171880746244.4,433402556056.55,103022864677.47
