asset,horizon,date,mult,prob,outcome
btc,7,2021-07-20,0.9,0.8269,1
btc,7,2021-07-20,0.95,0.7158,1
btc,7,2021-07-20,1.0,0.5217,1
btc,7,2021-07-20,1.05,0.3374,1
btc,7,2021-07-20,1.1,0.1996,1
btc,7,2021-07-27,0.9,0.8304,1
btc,7,2021-07-27,0.95,0.722,1
btc,7,2021-07-27,1.0,0.5275,0
btc,7,2021-07-27,1.05,0.3512,0
btc,7,2021-07-27,1.1,0.2221,0
btc,7,2021-08-03,0.9,0.8389,1
btc,7,2021-08-03,0.95,0.7297,1
btc,7,2021-08-03,1.0,0.5285,1
btc,7,2021-08-03,1.05,0.3624,1
btc,7,2021-08-03,1.1,0.2204,1
btc,7,2021-08-10,0.9,0.8394,1
btc,7,2021-08-10,0.95,0.7332,1
btc,7,2021-08-10,1.0,0.5466,0
btc,7,2021-08-10,1.05,0.3738,0
btc,7,2021-08-10,1.1,0.2411,0
btc,7,2021-08-17,0.9,0.8464,1
btc,7,2021-08-17,0.95,0.7398,1
btc,7,2021-08-17,1.0,0.5516,1
btc,7,2021-08-17,1.05,0.3818,1
btc,7,2021-08-17,1.1,0.2288,0
btc,7,2021-08-24,0.9,0.8548,1
btc,7,2021-08-24,0.95,0.7547,1
btc,7,2021-08-24,1.0,0.5677,0
btc,7,2021-08-24,1.05,0.3865,0
btc,7,2021-08-24,1.1,0.2294,0
btc,7,2021-08-31,0.9,0.8553,1
btc,7,2021-08-31,0.95,0.7507,1
btc,7,2021-08-31,1.0,0.5605,0
btc,7,2021-08-31,1.05,0.3731,0
btc,7,2021-08-31,1.1,0.2152,0
btc,7,2021-09-07,0.9,0.8611,1
btc,7,2021-09-07,0.95,0.7677,1
btc,7,2021-09-07,1.0,0.5716,1
btc,7,2021-09-07,1.05,0.3852,0
btc,7,2021-09-07,1.1,0.2124,0
btc,7,2021-09-14,0.9,0.8517,0
btc,7,2021-09-14,0.95,0.7486,0
btc,7,2021-09-14,1.0,0.5464,0
btc,7,2021-09-14,1.05,0.3687,0
btc,7,2021-09-14,1.1,0.2146,0
btc,7,2021-09-21,0.9,0.8522,1
btc,7,2021-09-21,0.95,0.7388,1
btc,7,2021-09-21,1.0,0.5376,1
btc,7,2021-09-21,1.05,0.347,0
btc,7,2021-09-21,1.1,0.1915,0
btc,7,2021-09-28,0.9,0.8583,1
btc,7,2021-09-28,0.95,0.7434,1
btc,7,2021-09-28,1.0,0.5485,1
btc,7,2021-09-28,1.05,0.3533,1
btc,7,2021-09-28,1.1,0.2001,1
btc,7,2021-10-05,0.9,0.8578,1
btc,7,2021-10-05,0.95,0.7444,1
btc,7,2021-10-05,1.0,0.5424,1
btc,7,2021-10-05,1.05,0.3683,1
btc,7,2021-10-05,1.1,0.2199,0
btc,7,2021-10-12,0.9,0.8543,1
btc,7,2021-10-12,0.95,0.7501,1
btc,7,2021-10-12,1.0,0.5619,1
btc,7,2021-10-12,1.05,0.3847,1
btc,7,2021-10-12,1.1,0.2303,1
btc,7,2021-10-19,0.9,0.8655,1
btc,7,2021-10-19,0.95,0.7644,0
btc,7,2021-10-19,1.0,0.5763,0
btc,7,2021-10-19,1.05,0.3978,0
btc,7,2021-10-19,1.1,0.2479,0
btc,7,2021-10-26,0.9,0.8617,1
btc,7,2021-10-26,0.95,0.7606,1
btc,7,2021-10-26,1.0,0.5662,1
btc,7,2021-10-26,1.05,0.3825,0
btc,7,2021-10-26,1.1,0.2273,0
btc,7,2021-11-02,0.9,0.8661,1
btc,7,2021-11-02,0.95,0.7643,1
btc,7,2021-11-02,1.0,0.57,1
btc,7,2021-11-02,1.05,0.384,1
btc,7,2021-11-02,1.1,0.2323,0
btc,7,2021-11-09,0.9,0.8711,0
btc,7,2021-11-09,0.95,0.7647,0
btc,7,2021-11-09,1.0,0.5759,0
btc,7,2021-11-09,1.05,0.3849,0
btc,7,2021-11-09,1.1,0.2338,0
btc,7,2021-11-16,0.9,0.8717,1
btc,7,2021-11-16,0.95,0.7655,1
btc,7,2021-11-16,1.0,0.5854,0
btc,7,2021-11-16,1.05,0.3757,0
btc,7,2021-11-16,1.1,0.2147,0
btc,7,2021-11-23,0.9,0.8645,1
btc,7,2021-11-23,0.95,0.7505,1
btc,7,2021-11-23,1.0,0.5612,0
btc,7,2021-11-23,1.05,0.3703,0
btc,7,2021-11-23,1.1,0.216,0
btc,7,2021-11-30,0.9,0.8649,0
btc,7,2021-11-30,0.95,0.744,0
btc,7,2021-11-30,1.0,0.5553,0
