calc_time,funding_interval_hours,funding_rate
1609459200002,8,0.00034491
1609488000006,8,0.00061141
1609516800003,8,0.00056803
1609545600000,8,0.00025572
1609574400000,8,0.00049233
1609603200006,8,0.00109186
1609632000018,8,0.00062004
1609660800000,8,0.00074404
1609689600002,8,0.00171498
1609718400000,8,0.00295549
1609747200000,8,0.00375
1609776000000,8,0.00085432
1609804800020,8,0.00102541
1609833600003,8,0.0004305
1609862400003,8,0.00102796
1609891200010,8,0.0018218
1609920000003,8,0.00222459
1609948800000,8,0.00253317
1609977600007,8,0.00114512
1610006400000,8,0.00165953
1610035200004,8,0.00176605
1610064000000,8,0.00171757
1610092800000,8,0.00077262
1610121600000,8,0.00137534
1610150400009,8,0.0006769
1610179200004,8,0.00068612
1610208000000,8,0.00156908
1610236800000,8,0.00340522
1610265600005,8,0.00202919
1610294400000,8,0.00126049
1610323200000,8,0.00177547
1610352000012,8,0.0006624
1610380800000,8,0.00039691
1610409600000,8,0.0001
1610438400000,8,0.00045084
1610467200008,8,0.00058059
1610496000001,8,0.00037339
1610524800000,8,0.0001184
1610553600003,8,0.00040496
1610582400000,8,0.00054804
1610611200012,8,0.0005229
1610640000000,8,0.0007165
1610668800002,8,0.00027278
1610697600000,8,0.00055774
1610726400004,8,0.00087472
1610755200000,8,0.00014675
1610784000008,8,0.00054404
1610812800000,8,0.00152456
1610841600009,8,0.00106467
1610870400000,8,0.00050098
1610899200001,8,0.00051088
1610928000000,8,0.00109082
1610956800004,8,0.00028606
1610985600000,8,0.00109269
1611014400000,8,0.00121462
1611043200005,8,0.00197982
1611072000012,8,0.00199604
1611100800012,8,0.00153883
1611129600001,8,0.00072796
1611158400001,8,0.00048461
1611187200000,8,0.00034937
1611216000000,8,0.00065753
1611244800004,8,0.00037547
1611273600012,8,0.00020251
1611302400003,8,0.00016737
1611331200001,8,0.0001
1611360000000,8,0.00015431
1611388800002,8,0.00020659
1611417600000,8,0.00028319
1611446400001,8,0.00093097
1611475200011,8,0.00058705
1611504000005,8,0.00094274
1611532800007,8,0.00050723
1611561600012,8,0.00105754
1611590400000,8,0.00093264
1611619200007,8,0.00034093
1611648000000,8,0.00031895
1611676800000,8,0.0001
1611705600000,8,0.00036342
1611734400011,8,0.0001
1611763200003,8,0.0001
1611792000000,8,0.00014794
1611820800000,8,0.0001
1611849600000,8,0.00056884
1611878400009,8,0.00112844
1611907200000,8,0.00061388
1611936000000,8,0.00241392
1611964800000,8,0.00094051
1611993600000,8,0.00037882
1612022400000,8,0.00072777
1612051200009,8,0.00115111
1612080000000,8,0.00113497
1612108800000,8,0.00072236
1612137600001,8,0.00025014
1612166400014,8,0.00055359
1612195200000,8,0.00061764
1612224000000,8,0.00050304
1612252800006,8,0.00120708
1612281600000,8,0.00165937
1612310400009,8,0.00151935
1612339200006,8,0.00155522
1612368000006,8,0.00167923
1612396800005,8,0.00146092
1612425600000,8,0.00135459
1612454400011,8,0.00145079
1612483200009,8,0.00113736
1612512000004,8,0.0017643
1612540800000,8,0.00155465
1612569600008,8,0.00117123
1612598400009,8,0.00107002
1612627200000,8,0.00143968
1612656000000,8,0.00171115
1612684800005,8,0.00051183
1612713600001,8,0.00065683
1612742400000,8,0.0001
1612771200001,8,0.00039877
1612800000000,8,0.00284408
1612828800010,8,0.00227548
1612857600006,8,0.00193315
1612886400007,8,0.00143234
1612915200009,8,0.00156788
1612944000014,8,0.00218071
1612972800005,8,0.00085146
1613001600000,8,0.00071884
1613030400000,8,0.00065956
1613059200000,8,0.00180566
1613088000000,8,0.00092117
1613116800000,8,0.00050482
1613145600000,8,0.00153886
1613174400001,8,0.00228313
1613203200003,8,0.00173035
1613232000000,8,0.00094692
1613260800013,8,0.00110785
1613289600000,8,0.00176822
1613318400008,8,0.0012426
1613347200000,8,0.0007946
1613376000006,8,0.00013827
1613404800000,8,0.00081146
1613433600001,8,0.00104485
1613462400000,8,0.00112937
1613491200010,8,0.00114441
1613520000005,8,0.00092761
1613548800010,8,0.00106083
1613577600008,8,0.00232282
1613606400012,8,0.0019495
1613635200000,8,0.00202078
1613664000009,8,0.00118984
1613692800010,8,0.00082051
1613721600002,8,0.00139773
1613750400008,8,0.00169023
1613779200000,8,0.00196264
1613808000009,8,0.00189841
1613836800000,8,0.0018588
1613865600007,8,0.00051516
1613894400012,8,0.0004355
1613923200001,8,0.00107233
1613952000006,8,0.00077647
1613980800002,8,0.00047334
1614009600000,8,0.00034567
1614038400000,8,0.0001
1614067200006,8,0.00026168
1614096000000,8,0.0001
1614124800012,8,0.00013438
1614153600016,8,0.00039328
1614182400011,8,0.00028758
1614211200007,8,0.0004677
1614240000000,8,0.00016178
1614268800010,8,0.0001
1614297600000,8,0.0001
1614326400025,8,0.00014852
1614355200010,8,0.00037736
1614384000001,8,0.00018181
1614412800000,8,0.0006196
1614441600000,8,0.0001
1614470400021,8,0.0001
1614499200009,8,0.0001
1614528000000,8,0.0001
1614556800000,8,0.0001
1614585600003,8,0.00033427
1614614400001,8,0.00049119
1614643200000,8,0.00049538
1614672000000,8,0.00035713
1614700800004,8,0.00039154
1614729600000,8,0.0001
1614758400016,8,0.0001
1614787200000,8,0.00087091
1614816000000,8,0.00047552
1614844800015,8,0.00015927
